id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13344785,JH123429,2024-01-22T00:20:00.000,052XX S SANGAMON ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,0934,009,20,61,03,2024,2024-01-30T15:41:33.000,1170865,1870134,41.799123492,-87.648926253,"{'latitude': '41.799123492', 'longitude': '-87.648926253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,14924,59,768,4,37,23,127,20
13344441,JH123431,2024-01-22T00:20:00.000,071XX S PRAIRIE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,0323,003,6,69,15,2024,2024-01-30T15:41:33.000,1179278,1857647,41.764669974,-87.618454706,"{'latitude': '41.764669974', 'longitude': '-87.618454706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,474,32,61,18,223,4
13345431,JH123416,2024-01-22T00:15:00.000,083XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0613,006,17,71,08B,2024,2024-01-30T15:41:33.000,1170770,1849485,41.742462184,-87.649876395,"{'latitude': '41.742462184', 'longitude': '-87.649876395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,530,13,59,20,233,17
13344459,JH123446,2024-01-22T00:15:00.000,011XX S STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,0123,001,4,32,08B,2024,2024-01-30T15:41:33.000,1176517,1895340,41.868165405,-87.62743954,"{'latitude': '41.868165405', 'longitude': '-87.62743954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10,35,22,144,9
13344495,JH123436,2024-01-22T00:12:00.000,015XX S ST LOUIS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1021,010,24,29,15,2024,2024-01-30T15:41:33.000,1153290,1892123,41.859830057,-87.712795927,"{'latitude': '41.859830057', 'longitude': '-87.712795927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,772,14,57,21,153,24
13344473,JH123414,2024-01-22T00:10:00.000,070XX S MERRILL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,0331,003,5,43,14,2024,2024-01-30T15:41:33.000,1191765,1858585,41.766950022,-87.57265675,"{'latitude': '41.766950022', 'longitude': '-87.57265675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,152,33,24,18,262,3
13344882,JH123949,2024-01-22T00:10:00.000,025XX N CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,1413,014,35,22,06,2024,2024-01-30T15:41:33.000,1151953,1916648,41.927155534,-87.717057098,"{'latitude': '41.927155534', 'longitude': '-87.717057098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,22535,23,70,12,1,7,185,35
13344461,JH123409,2024-01-22T00:10:00.000,066XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0831,008,15,66,08B,2024,2024-01-30T15:41:33.000,1157193,1860505,41.772987921,-87.699325369,"{'latitude': '41.772987921', 'longitude': '-87.699325369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,21867,64,382,31,58,13,208,15
13344476,JH123433,2024-01-22T00:10:00.000,111XX S LANGLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0531,005,9,50,08B,2024,2024-01-30T15:41:33.000,1182905,1831206,41.692029295,-87.605979811,"{'latitude': '41.692029295', 'longitude': '-87.605979811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,47,601,43,19,10,265,11
13344488,JH123410,2024-01-22T00:05:00.000,079XX S WHIPPLE ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,0835,008,18,70,07,2024,2024-01-30T15:41:33.000,1157432,1851570,41.748464064,-87.698690891,"{'latitude': '41.748464064', 'longitude': '-87.698690891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,243,30,8,13,226,18
